T,TM,Tm,H,VV,V,VM,PM 2.5
28.2,32.2,24.8,86,2.7,14.1,24.1,35.45
28.2,32.4,24.3,82,3.7,11.5,22.2,29.1
29.1,34.2,24,73,4,11.3,22.2,27.49
29.5,35.2,24.5,72,4.2,10.4,18.3,31.38
30.6,35.2,24.7,63,4.3,11.1,18.3,37.48
30.3,36,24.2,64,3.5,9.1,20.6,58.63
30.4,36.4,26.4,64,3.1,8.1,13,73.3
27.9,34.7,23,75,3.9,14.4,22.2,46.73
24.6,27.6,21.6,91,3.2,10.9,18.3,21.45
27.2,32.4,22,79,3.7,6.5,14.8,42.83
28.7,35,23.1,74,3.7,5,14.8,71.44
28.8,35.2,22.8,66,3.5,6.7,14.8,65.78
29.2,36.2,22.9,59,3.2,6.3,14.8,76.03
29.7,36.8,22,56,3.7,4.8,11.1,63.37
27.6,34.6,20,56,3.1,5,14.8,81.14
28.4,35.8,21.2,54,2.9,5.9,14.8,118.6
28.8,36,21.9,56,3.4,8.1,14.8,103.26
25.1,31.8,18.2,56,3.4,6.9,18.3,132.93
25.5,33,18,51,3.2,6.9,16.5,91.88
26.1,34.2,18.6,51,3.1,5.4,11.1,115.96
25.6,33.3,18,53,2.3,6.3,13,137.73
25.3,33.6,18,47,2.6,4.4,11.1,168.87
24.3,33.6,18.2,48,2.9,6.1,14.8,141.15
24.7,33.4,17.1,51,3.1,4.8,11.1,168.82
24.1,31,17.8,52,2.1,2.6,9.4,203.12
23.4,32.1,17,57,2.4,2,9.4,206.05
24,31.4,17.3,58,2.1,2.4,7.6,225.17
24.1,31.7,18,58,2.1,3.7,9.4,236.67
24.5,32.6,17,57,2.3,8.5,13,205.44
24.3,30.9,18.6,59,2.6,13.9,20.6,159.56
19.1,27.8,12.1,44,2.3,5,14.8,175.43
18.8,26.8,12,51,1.6,0.9,7.6,420.3
20.6,30,12.8,60,1.6,2.6,11.1,300.91
22.5,30.3,16.4,66,1.6,9.1,18.3,265.06
22.5,29.4,17,70,2.9,9.1,14.8,136.2
21.1,27.2,14,70,2.1,8.5,16.5,98.53
19.9,27.2,12,52,2.6,5.2,11.1,133.62
18.7,27.2,12.1,64,2.3,3,11.1,200.69
20.9,28,12.5,54,2.4,5,16.5,205.53
17.9,26.2,11,59,2.4,5.9,16.5,147.48
18.6,27.2,10.6,50,2.7,2.4,9.4,164.63
17.2,26.2,10.5,58,1.9,3.3,11.1,178.87
15.7,23.4,9,69,1.6,5,14.8,193.81
16.4,24.2,8,63,2.1,3.7,9.4,202.83
15.9,24.8,10,60,1.9,2.2,9.4,226.35
15.3,21,10,73,2.3,8.9,14.8,94.29
13.8,21.2,9,78,1.9,8.3,14.8,113.42
14.3,22,8.1,69,1.9,10,18.3,122.69
13.4,22.2,6.8,64,1.6,5.4,13,205.22
13.3,22.2,6.5,63,1.8,3.3,13,258.1
12.4,20.5,6,67,1.4,4.3,14.8,252.2
11,18.6,5,81,0.6,7.8,20.6,268.2
12.1,20.2,4,61,1.8,4.1,13,241.0
12.7,20,5.5,61,1.3,8.7,14.8,290.1
13.3,22.2,5.6,61,1.3,4.4,14.8
