T,TM,Tm,H,VV,V,VM,PM 2.5
28.8,36.0,20.0,43.0,2.6,9.4,25.9,109.78
28.7,35.0,21.0,39.0,3.5,9.3,18.3,62.27
25.2,31.0,20.0,61.0,2.7,7.6,14.8,55.66
27.5,33.0,20.0,48.0,2.9,8.3,14.8,112.86
27.3,34.0,20.0,46.0,3.4,12.6,22.2,78.51
24.2,29.0,18.0,71.0,4.0,10.6,18.3,66.52
23.3,29.0,20.0,62.0,3.1,9.3,18.3,66.09
27.1,33.0,20.0,41.0,3.2,9.4,14.8,95.34
26.0,32.0,19.0,44.0,3.2,9.6,18.3,63.57
25.2,30.0,19.0,59.0,3.2,10.7,22.2,86.49
26.7,32.0,22.0,53.0,2.9,8.0,18.3,77.07
27.9,34.0,22.0,52.0,2.7,8.3,16.5,98.79
33.3,41.0,22.0,29.0,2.4,6.3,13.0,125.53
33.3,39.0,26.0,32.0,2.4,11.1,18.3,121.51
31.6,39.0,24.0,28.0,2.9,9.6,18.3,114.5
30.9,36.0,25.0,34.0,2.1,16.9,24.1,106.76
28.9,33.0,24.0,43.0,2.7,16.7,27.8,65.36
31.1,37.0,25.0,41.0,2.7,17.2,25.9,67.08
31.5,39.0,24.0,36.0,3.5,9.8,20.6,76.1
31.3,39.0,24.0,30.0,3.2,6.1,16.5,72.66
31.6,41.0,23.0,26.0,2.4,5.7,14.8,121.94
35.3,43.0,27.0,16.0,2.9,12.2,18.3,117.76
34.7,43.0,27.0,19.0,2.4,8.7,22.2,90.66
35.9,42.0,27.0,19.0,2.6,7.4,14.8,106.4
26.9,34.0,23.0,60.0,2.9,10.2,18.3,83.42
31.0,37.0,24.0,43.0,2.9,5.7,14.8,78.06
29.0,37.0,23.0,49.0,2.6,7.8,18.3,97.87
31.6,42.0,23.0,40.0,2.7,12.4,37.0,89.85
33.4,43.0,22.0,31.0,2.6,12.2,22.2,67.41
36.1,45.0,28.0,24.0,2.9,10.0,20.6,75.54
38.8,45.0,31.0,14.0,2.6,11.9,22.2,117.27
37.9,46.0,28.0,14.0,3.1,12.2,22.2,96.09
36.2,44.0,27.0,13.0,2.7,9.6,22.2,84.71
35.5,41.0,28.0,22.0,2.6,15.4,27.8,73.62
30.7,36.0,27.0,32.0,2.7,13.9,22.2,49.42
31.7,41.0,26.0,33.0,2.9,10.4,18.3,52.51
28.1,33.0,24.0,51.0,2.9,12.4,27.8,65.28
36.7,43.0,30.0,28.0,3.4,7.6,16.5,85.03
38.1,44.0,30.0,22.0,3.5,7.6,18.3,137.7
37.1,43.0,32.0,26.0,3.1,16.3,31.7,136.05
30.2,39.0,24.0,52.0,2.6,14.1,22.2,73.7
27.3,33.0,22.0,72.0,2.4,7.4,14.8,74.56
31.6,37.0,27.0,57.0,2.4,5.9,16.5,106.11
36.7,42.0,32.0,43.0,3.2,12.6,20.6,110.65
33.3,38.0,29.0,48.0,3.4,15.4,22.2,80.31
30.1,35.0,25.0,67.0,3.4,13.3,37.0,59.73
26.7,30.0,23.0,83.0,2.1,8.9,16.5,37.59
31.2,39.0,26.0,58.0,2.6,13.1,20.6,76.0
32.4,38.0,28.0,54.0,3.1,13.1,24.1,69.46
31.4,37.0,27.0,56.0,3.2,8.7,22.2,57.99
33.6,39.0,28.0,47.0,3.4,10.6,20.6,67.12
32.1,41.0,27.0,54.0,3.4,13.9,33.5,65.25
28.0,33.0,25.0,83.0,1.6,6.9,14.8,52.2
30.7,35.0,27.0,70.0,2.4,8.0,16.5,67.92
28.8,33.0,26.0,82.0,1.8,7.2,14.8,65.95
29.7,33.0,25.0,73.0,3.5,7.0,11.1,36.68
30.6,36.0,28.0,73.0,3.7,10.9,18.3,44.48
32.8,37.0,29.0,60.0,4.2,14.8,24.1,63.79
29.2,33.0,26.0,76.0,2.9,4.6,14.8,67.39
28.6,32.0,25.0,81.0,2.6,8.3,16.5,49.58
30.8,35.0,27.0,76.0,3.4,10.2,14.8,40.97
31.2,35.0,28.0,73.0,2.4,13.1,20.6,46.01
29.6,32.0,26.0,75.0,2.9,18.0,22.2,29.81
29.2,33.0,26.0,74.0,3.5,15.0,22.2,22.82
28.8,31.0,26.0,75.0,2.4,8.9,14.8,37.85
27.7,31.0,25.0,81.0,2.7,5.9,14.8,41.32
28.8,33.0,26.0,78.0,3.1,5.9,20.6,47.81
30.2,35.0,26.0,71.0,3.5,10.2,14.8,56.02
29.0,34.0,26.0,83.0,2.1,7.2,16.5,64.58
29.3,32.0,27.0,83.0,1.3,7.6,14.8,70.05
27.1,29.0,26.0,93.0,1.0,7.8,13.0,55.51
31.6,35.0,28.0,71.0,3.2,5.6,13.0,61.66
30.2,33.0,28.0,81.0,3.1,6.7,11.1,65.67
27.8,31.0,26.0,91.0,2.6,6.3,14.8,51.4
30.4,35.0,26.0,72.0,3.5,13.1,22.2,34.42
30.1,34.0,27.0,70.0,3.7,14.3,22.2,40.83
29.6,33.0,27.0,74.0,3.4,10.9,18.3,50.97
31.4,36.0,26.0,65.0,3.5,13.7,22.2,52.06
31.4,35.0,27.0,66.0,4.0,10.9,22.2,57.52
31.9,36.0,27.0,63.0,3.2,9.4,14.8,61.47
31.0,35.0,27.0,61.0,4.0,12.8,18.3,51.67
31.3,35.0,27.0,56.0,3.5,13.3,22.2,73.78
30.4,34.0,27.0,57.0,3.2,12.8,24.1,97.63
30.7,34.0,26.0,56.0,3.1,8.0,22.2,99.5
31.2,36.0,25.0,48.0,4.0,9.3,22.2,55.19
30.6,36.0,25.0,56.0,3.7,12.2,20.6,63.79
30.9,36.0,24.0,53.0,3.5,13.5,63.0,58.48
31.9,37.0,26.0,56.0,2.9,5.7,11.1,84.57
32.2,37.0,27.0,53.0,2.4,7.0,20.6,111.58
32.4,37.0,27.0,58.0,2.7,6.7,11.1,108.78
29.9,35.0,26.0,79.0,2.1,8.5,14.8,67.62
29.9,36.0,26.0,69.0,3.1,10.7,16.5,64.38
29.6,35.0,26.0,69.0,3.4,9.1,16.5,45.65
28.7,35.0,23.0,51.0,4.2,8.3,20.6,82.39
29.4,35.0,25.0,54.0,3.5,8.5,18.3,88.08
29.3,34.0,25.0,58.0,3.5,8.5,16.5,89.75
27.8,35.0,21.0,53.0,4.2,6.3,14.8,85.7
28.1,35.0,21.0,50.0,3.5,7.0,14.8,97.62
29.1,36.0,21.0,52.0,3.7,6.3,16.5,103.58
29.0,34.0,22.0,58.0,2.6,9.1,22.2,144.04
29.5,35.0,23.0,48.0,3.4,7.2,18.3,148.44
29.1,35.0,22.0,45.0,3.4,6.5,22.2,130.22
29.3,35.0,24.0,63.0,2.9,8.9,14.8,97.67
27.4,34.0,21.0,63.0,2.9,7.4,20.6,75.81
28.1,34.0,22.0,57.0,2.9,5.9,13.0,95.24
29.4,36.0,23.0,51.0,2.1,6.1,13.0,170.28
30.3,36.0,24.0,45.0,2.4,6.3,14.8,198.1
27.1,33.0,20.0,47.0,2.1,7.4,13.0,158.04
27.0,33.0,20.0,41.0,2.6,13.3,18.3,147.65
25.4,31.0,21.0,47.0,3.2,8.9,22.2,101.61
24.9,31.0,19.0,50.0,2.7,5.6,13.0,113.2
23.1,29.0,17.0,59.0,1.0,2.8,11.1,245.97
24.4,30.0,19.0,52.0,1.6,3.1,11.1,277.53
24.9,31.0,18.0,54.0,1.8,3.0,7.6,232.4
24.9,30.0,19.0,51.0,1.3,3.3,9.4,244.78
21.9,27.0,16.0,69.0,0.6,5.6,11.1,353.86
22.7,28.0,19.0,59.0,1.4,8.1,14.8,217.55
24.4,29.0,19.0,52.0,1.6,7.2,11.1,201.44
22.9,29.0,17.0,56.0,1.0,8.0,18.3,291.66
22.9,29.0,17.0,57.0,1.4,6.9,14.8,221.68
24.0,32.0,17.0,46.0,1.6,2.4,11.1,214.24
19.2,27.0,12.0,49.0,1.3,3.0,13.0,238.69
18.8,27.0,12.0,57.0,1.0,2.6,11.1,271.42
19.5,27.0,13.0,55.0,1.3,1.9,7.6,293.73
19.4,27.0,13.0,50.0,2.4,8.5,22.2,149.14
20.3,28.0,13.0,46.0,2.4,5.7,14.8,182.5
18.1,22.0,12.0,66.0,1.6,5.2,16.5,193.58
19.4,26.0,14.0,74.0,0.8,3.7,9.4,183.28
18.6,25.0,14.0,60.0,1.1,3.3,11.1,170.74
17.3,24.0,12.0,71.0,0.6,8.7,18.3,190.14
18.7,26.0,13.0,70.0,0.8,4.8,13.0,249.8
19.2,26.0,14.0,66.0,1.0,3.3,11.1,283.59
18.8,23.8,13.4,73.0,1.0,8.3,22.2,250.69
13.1,21.3,5.0,60.0,1.9,4.8,14.8,135.42
13.1,21.3,6.8,54.0,1.9,9.4,18.3,118.6
12.6,22.4,6.0,53.0,1.9,5.4,18.3,88.3
12.3,21.2,6.0,62.0,1.4,4.8,14.8,114.35
12.8,21.2,6.0,59.0,1.3,3.1,14.8,181.67
12.7,20.0,6.0,64.0,1.0,3.7,9.4,135.78
11.2,19.0,4.0,58.0,1.9,9.3,16.5,132.56
13.3,21.2,6.0,52.0,1.6,7.6,18.3,158.69
14.3,22.4,7.6,57.0,1.3,9.6,20.6,187.01
14.6,23.0,8.0,69.0,0.6,3.1,14.8,295.71
14.6,22.2,7.9,64.0,1.0,5.0,16.5,239.21
13.8,22.2,8.0,68.0,1.0,5.7,14.8,270.1
18.2,25.0,12.0,75.0,0.5,3.5,11.1,391.54
14.3,19.4,10.0,89.0,0.3,7.6,14.8,339.87
14.6,22.1,8.0,67.0,1.4,9.6,24.1,158.43
16.1,22.0,13.0,81.0,0.6,9.3,20.6,248.59
14.1,19.1,10.0,83.0,0.6,7.4,13.0,196.87
12.5,16.2,9.6,83.0,1.3,13.0,18.3,178.8
10.4,16.2,7.0,91.0,0.5,6.9,13.0,278.2
9.7,14.4,7.0,87.0,0.5,8.3,13.0,272.1
10.2,16.4,3.0,78.0,1.0,7.8,14.8,196.83
10.6,17.2,6.0,75.0,1.0,6.9,11.1,217.05
13.9,22.7,7.4,69.0,1.0,5.6,11.1,308.75
16.4,23.8,10.0,65.0,1.3,5.6,11.1,255.94
16.6,22.2,10.0,75.0,1.3,10.0,20.6,242.05
14.7,22.9,8.0,61.0,2.1,9.4,18.3,121.4
14.6,22.2,7.0,52.0,2.6,9.6,20.6,135.31
14.0,22.3,7.0,55.0,2.3,11.1,22.2,136.87
16.4,22.4,9.0,69.0,1.4,7.8,14.8,170.45
15.5,23.6,9.0,68.0,1.6,8.0,16.5,119.57
15.4,24.4,8.0,72.0,1.1,6.5,16.5,181.76
16.3,26.7,11.0,56.0,2.3,10.4,20.6,110.89
17.3,24.8,9.7,57.0,1.9,10.0,16.5,103.57
16.5,23.0,10.9,58.0,1.8,6.9,18.3,115.7
22.2,29.8,15.0,65.0,1.3,6.3,13.0,207.1
21.9,28.2,16.0,72.0,1.4,13.0,20.6,150.89
18.4,27.0,11.0,62.0,2.4,15.2,24.1,76.12
21.6,32.2,12.0,44.0,3.1,9.3,16.5,131.69
22.8,31.9,14.5,42.0,2.7,7.2,16.5,129.66
21.9,29.9,14.4,49.0,2.3,4.3,11.1,144.98
24.1,32.2,16.4,51.0,1.9,3.7,11.1,213.62
25.0,33.8,16.4,45.0,2.1,5.0,11.1,175.63
25.6,34.6,17.1,46.0,2.1,8.7,18.3,165.22
22.4,29.8,16.0,65.0,2.1,10.7,20.6,98.61
22.3,30.0,16.0,59.0,2.7,8.5,16.5,84.42
22.8,30.4,15.8,54.0,2.1,8.9,20.6,109.16
23.7,29.4,17.7,59.0,3.4,10.7,20.6,58.95
21.6,29.2,16.0,54.0,3.1,8.3,20.6,51.82
22.6,31.0,15.0,53.0,3.1,11.1,22.2,81.32
25.8,35.0,19.4,50.0,2.7,8.5,27.8,103.73
26.6,35.0,19.6,46.0,2.4,10.2,18.3,95.52
24.9,34.5,18.7,34.0,4.0,16.7,24.1,58.4
29.3,38.4,19.0,34.0,2.7,10.4,20.6,137.99
24.1,28.1,19.4,53.0,3.4,14.3,24.1,72.44
25.5,34.0,17.0,39.0,3.4,8.9,18.3,61.75
30.4,40.0,20.4,30.0,2.6,7.8,16.5,127.86
30.8,39.2,21.0,30.0,3.1,11.5,24.1,130.7
31.4,41.2,22.0,32.0,3.7,6.3,20.6,118.44
33.4,43.0,25.1,30.0,2.6,7.8,18.3,148.22
27.3,37.0,20.0,36.0,2.9,11.9,22.2,129.61
29.0,38.0,19.5,26.0,3.4,6.7,13.0,89.78
31.3,38.4,20.6,22.0,2.7,9.6,18.3,166.76
30.4,39.0,21.0,22.0,3.1,13.7,29.4,74.9
32.7,41.0,22.0,20.0,3.4,9.6,20.6,94.81
33.9,42.2,22.4,19.0,2.9,9.1,22.2,137.48
33.3,41.0,23.0,20.0,3.5,12.0,24.1,92.74
33.2,41.0,24.2,23.0,2.9,9.1,20.6,113.75
30.9,38.3,22.0,18.0,3.2,8.5,22.2,89.52
32.5,42.2,23.0,18.0,2.4,5.4,22.2,162.54
33.3,43.0,23.0,16.0,2.6,8.3,22.2,161.23
33.6,42.0,23.0,15.0,2.4,9.1,22.2,181.49
34.6,44.2,24.0,13.0,2.7,7.0,18.3,124.21
37.7,46.2,26.8,12.0,2.9,9.6,22.2,119.47
34.7,46.2,29.0,20.0,2.9,10.4,14.8,125.36
33.7,40.7,24.8,29.0,3.2,8.5,14.8,77.89
33.7,40.9,26.4,33.0,3.2,12.6,20.6,90.19
32.8,40.2,28.4,38.0,3.4,14.8,24.1,77.34
36.0,44.5,27.8,28.0,3.5,9.8,37.0,99.88
36.8,44.0,28.0,26.0,3.4,6.5,13.0,105.51
37.8,44.4,28.5,20.0,3.4,5.9,14.8,128.85
36.6,46.4,29.8,34.0,3.7,13.9,24.1,94.22
36.6,43.5,30.8,43.0,3.9,13.0,22.2,70.86
36.1,44.2,29.0,46.0,3.1,15.0,20.6,78.02
30.9,39.2,26.7,49.0,2.9,9.3,18.3,105.02
35.4,41.0,26.5,39.0,2.4,6.5,20.6,111.22
37.0,42.2,30.5,28.0,2.3,13.5,24.1,180.71
31.9,39.0,24.6,49.0,3.1,9.8,22.2,101.54
34.4,40.8,25.6,40.0,3.1,9.8,20.6,76.56
37.3,43.8,29.8,28.0,2.9,10.4,22.2,81.4
38.6,46.0,29.0,27.0,3.2,8.0,22.2,138.97
33.4,39.2,28.4,45.0,3.4,13.7,27.8,66.72
36.2,42.2,29.6,36.0,3.2,13.1,20.6,64.08
34.6,43.2,28.4,35.0,3.2,12.0,22.2,64.95
33.7,41.8,25.0,46.0,2.9,13.7,37.0,96.72
31.7,36.1,25.0,61.0,3.2,11.9,27.8,59.02
34.4,40.0,29.4,50.0,2.7,13.1,20.6,102.42
34.9,41.2,29.8,54.0,3.7,15.0,24.1,101.31
30.3,41.2,27.0,72.0,3.2,12.6,22.2,83.1
31.5,39.0,27.0,66.0,3.9,12.6,18.3,72.33
34.1,40.8,30.8,59.0,3.1,12.4,27.8,67.12
34.1,39.4,29.1,59.0,3.2,12.0,18.3,48.0
33.2,40.2,25.2,62.0,2.9,13.9,22.2,76.76
31.8,38.0,25.0,70.0,3.2,11.9,18.3,58.21
28.6,37.6,24.7,75.0,3.2,8.9,18.3,57.24
28.9,32.5,26.0,79.0,2.7,7.2,16.5,67.6
33.2,37.8,28.8,66.0,3.5,10.6,16.5,54.5
30.6,36.8,28.0,74.0,3.4,7.0,14.8,54.96
32.2,37.6,28.0,69.0,3.5,7.8,18.3,52.95
30.7,36.2,26.3,79.0,2.9,7.8,16.5,71.53
29.6,37.0,26.4,82.0,2.6,7.4,22.2,73.51
30.2,33.4,25.7,82.0,3.4,9.3,16.5,52.88
31.4,36.0,26.0,77.0,3.7,10.7,16.5,42.14
32.7,38.3,28.6,66.0,4.0,10.7,24.1,56.86
33.7,38.3,28.2,60.0,3.7,10.6,20.6,45.64
31.9,36.2,27.6,71.0,2.7,7.0,14.8,76.29
29.6,36.2,27.0,78.0,2.4,11.7,18.3,54.5
27.9,32.5,26.6,88.0,1.9,9.4,27.8,40.55
28.6,32.0,25.9,86.0,2.4,6.9,13.0,48.03
28.4,32.0,26.4,85.0,2.6,9.8,22.2,43.47
29.3,35.2,25.8,80.0,2.9,8.3,22.2,43.55
32.0,35.2,25.6,65.0,4.0,10.4,18.3,50.86
32.2,36.8,26.3,67.0,3.7,11.1,18.3,42.84
31.9,36.5,28.2,69.0,4.2,11.9,18.3,44.04
30.1,36.2,27.8,79.0,3.2,11.5,18.3,41.29
29.4,33.9,25.2,82.0,2.6,5.4,18.3,56.45
28.9,32.2,25.0,84.0,2.4,7.6,18.3,40.81
30.6,35.0,27.0,76.0,3.9,13.5,20.6,39.51
31.5,34.8,26.6,70.0,3.4,6.5,14.8,59.03
30.9,35.4,27.0,72.0,3.9,12.8,18.3,48.57
29.6,36.0,25.8,72.0,4.0,11.3,18.3,28.01
29.8,34.4,26.3,82.0,3.7,5.7,16.5,45.88
30.3,37.4,26.4,77.0,3.2,8.1,27.8,54.13
30.9,36.2,25.6,72.0,4.0,8.3,14.8,56.56
26.9,33.2,24.0,87.0,2.6,9.3,14.8,37.1
27.7,31.0,25.2,88.0,2.6,3.9,11.1,28.06
29.3,33.7,25.1,78.0,3.2,12.8,40.7,44.31
29.6,34.0,24.6,74.0,3.9,10.9,20.6,46.77
29.8,35.0,24.5,68.0,4.5,11.5,18.3,50.73
30.6,35.5,25.0,61.0,5.0,11.1,18.3,71.72
30.4,35.8,25.2,64.0,5.0,10.9,16.5,87.99
30.3,37.4,26.0,65.0,4.7,9.3,13.0,57.08
30.2,35.0,24.5,69.0,3.9,4.8,13.0,47.36
31.5,37.0,26.4,61.0,3.5,5.6,14.8,79.99
31.5,37.4,26.2,59.0,3.5,4.6,11.1,75.02
32.3,38.0,25.4,54.0,2.9,6.1,11.1,94.23
31.1,37.8,26.8,64.0,2.9,9.8,18.3,89.62
30.4,35.4,25.4,65.0,3.1,4.8,9.4,56.64
30.5,36.0,25.6,66.0,3.1,6.7,11.1,89.09
31.1,37.2,25.6,62.0,3.4,6.1,11.1,52.49
31.8,37.2,26.5,64.0,2.9,5.6,11.1,117.28
31.9,37.2,27.3,66.0,3.7,5.7,14.8,81.87
32.5,37.6,27.6,63.0,2.7,6.7,14.8,103.12
30.0,35.6,24.0,64.0,2.6,6.3,16.5,114.06
30.2,36.2,24.0,58.0,2.9,6.7,20.6,132.11
30.2,36.0,23.6,59.0,2.7,4.6,11.1,144.47
27.9,36.0,20.8,41.0,3.5,8.9,22.2,86.93
28.2,36.0,20.4,41.0,3.9,7.8,16.5,94.83
26.8,35.8,18.8,44.0,2.7,5.7,14.8,144.98
27.3,35.8,18.0,38.0,2.9,4.4,14.8,140.57
26.7,35.6,19.0,38.0,3.2,5.4,18.3,135.9
27.4,35.6,19.6,39.0,3.7,7.0,18.3,161.11
25.7,33.2,19.0,47.0,3.2,8.0,20.6,115.76
26.3,34.7,19.0,46.0,2.4,5.6,16.5,209.27
24.8,33.2,18.0,48.0,1.6,5.6,18.3,296.27
23.2,33.1,16.9,58.0,1.1,2.4,9.4,434.92
23.1,30.4,16.0,55.0,0.8,3.0,9.4,394.59
21.4,29.0,17.0,71.0,0.3,1.9,7.6,537.96
23.3,30.5,16.1,60.0,0.6,1.7,9.4,482.4
21.6,29.0,15.2,56.0,0.5,9.1,14.8,488.57
21.1,29.0,14.0,51.0,0.8,8.7,22.2,338.38
20.6,30.0,13.0,47.0,0.6,5.4,14.8,307.08
22.6,29.8,16.0,49.0,1.6,3.5,11.1,194.2
20.2,29.8,13.9,49.0,1.1,4.3,13.0,236.09
19.1,27.5,12.0,50.0,1.1,5.9,14.8,291.98
21.0,29.8,12.6,47.0,1.1,4.4,11.1,323.74
21.3,30.8,13.0,48.0,1.1,1.7,9.4,340.61
21.0,30.2,12.4,46.0,2.1,6.5,22.2,281.76
21.3,30.2,14.0,41.0,2.7,12.0,20.6,113.3
20.2,30.4,13.0,41.0,2.6,12.0,18.3,128.7
20.1,28.4,12.0,39.0,2.3,5.6,16.5,127.5
19.1,26.6,13.0,81.0,0.6,3.1,11.1,263.61
16.5,25.8,12.0,87.0,0.5,3.9,11.1,263.25
17.3,26.2,10.0,59.0,1.6,3.1,11.1,196.6
16.0,24.0,11.0,83.0,0.3,3.3,9.4,283.61
16.3,25.6,10.0,76.0,0.8,3.1,7.6,238.21
17.9,27.2,9.5,66.0,1.1,4.3,9.4,295.62
17.9,26.3,12.0,61.0,1.3,3.7,11.1,209.91
16.1,23.3,11.0,70.0,1.3,8.1,13.0,154.55
15.8,24.4,10.0,59.0,2.1,5.7,16.5,167.64
14.4,22.8,7.6,71.0,1.1,9.4,16.5,236.24
15.5,24.0,8.4,67.0,1.3,13.3,22.2,161.92
16.2,25.0,9.0,56.0,1.8,10.0,20.6,131.95
13.7,25.2,10.0,92.0,0.5,10.4,14.8,232.41
14.4,23.0,8.0,76.0,0.8,9.4,16.5,154.26
14.3,23.0,7.0,67.0,0.8,4.3,16.5,213.2
16.1,23.6,10.3,77,1.0,4.6,16.5,191.5
15.6,23.6,10.5,83,0.5,5.0,13.0,247.79
15.1,22.0,10.0,82,0.6,4.4,11.1,255.33
13.8,16.0,12.0,95,0.6,11.1,18.3,154.52
15.0,21.0,11.4,81,1.1,5.6,13.0,136.98
12.6,20.2,7.0,82,1.0,6.5,13.0,141.88
11.8,19.8,5.3,60,1.3,4.3,14.8,232.37
12.8,19.5,4.6,62,1.1,5.7,14.8,309.28
16.3,24.0,9.0,47,1.6,6.1,13.0,222.66
11.9,20.8,6.0,72,1.0,11.1,18.3,227.68
11.3,19.8,6.0,71,1.0,9.6,20.6,217.55
13.1,19.8,5.0,66,1.1,5.0,11.1,349.98
19.9,26.0,13.9,72,1.1,12.2,22.2,241.78
15.9,26.0,14.0,94,0.8,11.1,20.6,135.87
13.6,19.0,10.0,87,0.8,10.6,20.6,74.92
16.7,23.3,10.0,77,1.0,6.3,14.8,214.23
14.9,22.2,10.0,79,1.1,5.0,16.5,136.02
16.3,24.2,9.4,64,1.6,3.5,11.1,198.24
17.4,24.8,10.9,68,1.3,5.2,13.0,194.99
14.6,22.0,8.0,67,2.1,10.7,18.3,77.85
16.3,23.6,9.0,60,1.9,6.1,14.8,129.1
15.2,23.6,10.0,67,1.4,10.6,20.6,133.12
16.6,23.2,9.0,61,1.8,8.1,22.2,130.62
16.7,25.2,9.0,60,1.9,8.5,18.3,168.96
18.6,27.0,11.0,58,2.1,7.6,20.6,183.98
23.2,31.0,15.0,53,2.7,5.6,18.3,109.38
24.4,32.2,17.0,48,2.4,8.1,13.0,126.74
19.8,26.1,15.0,67,2.4,8.0,20.6,106.92
18.9,28.0,10.0,42,2.9,12.2,25.9,425.22
18.8,28.0,11.0,47,2.9,9.4,22.2,328.23
21.2,29.2,11.0,42,2.9,6.5,14.8,178.5
24.3,31.6,18.4,45,2.6,8.9,20.6,127.9
21.9,28.6,16.0,58,2.4,9.3,16.5,114.68
20.4,28.6,13.6,45,3.5,8.1,20.6,67.83
22.2,31.4,13.0,39,2.6,7.6,16.5,112.41
21.6,28.1,16.0,50,3.9,12.0,24.1,134.4
18.9,29.4,15.0,65,2.9,12.6,25.9,106.45
17.4,25.0,10.0,44,4.2,8.0,16.5,74.58
19.1,26.2,10.4,43,3.5,5.7,14.8,102.46
20.6,29.2,12.0,44,3.1,7.6,20.6,112.71
23.1,30.8,16.8,49,2.9,7.6,20.6,120.43
22.4,31.4,16.0,52,2.7,8.1,25.9,121.21
25.9,34.4,16.4,39,2.9,8.1,18.3,128.51
26.5,34.7,17.0,42,3.5,10.9,22.2,168.23
27.5,36.2,18.0,39,3.2,12.6,18.3,118.34
28.6,37.8,19.0,42,3.4,11.5,22.2,156.38
31.3,40.2,22.1,35,3.2,8.0,16.5,91.19
32.2,40.6,22.8,31,3.2,11.1,14.8,105.71
31.7,39.3,23.0,29,4.3,10.6,20.6,83.36
32.2,40.0,22.0,27,3.7,8.1,16.5,70.62
28.6,35.6,19.0,20,2.6,7.6,18.3,150.76
27.2,35.6,17.4,19,3.4,11.3,16.5,151.25
27.2,34.1,20.4,17,4.3,15.0,24.1,68.88
31.9,41.0,21.2,20,3.4,6.5,14.8,163.97
34.1,43.0,23.8,20,3.5,5.9,18.3,184.69
34.2,43.0,24.0,19,3.4,8.5,25.9,176.54
33.8,41.4,26.0,26,3.2,13.0,27.8,103.42
31.9,38.4,25.4,28,3.7,12.8,18.3,99.09
32.1,39.0,24.0,26,3.4,13.7,22.2,96.07
31.8,40.0,24.0,29,3.5,8.9,25.9,126.74
31.2,38.8,21.3,33,3.4,12.6,27.8,80.81
31.7,39.6,23.0,23,4.2,5.9,16.5,85.8
33.6,41.4,23.0,19,3.5,7.8,13.0,198.2
32.3,41.4,25.0,27,3.2,12.4,37.0,145.74
36.6,45.1,26.0,20,3.7,8.1,18.3,220.77
36.5,44.0,28.5,21,3.2,8.3,14.8,183.82
35.4,44.2,28.0,29,3.5,12.6,18.3,109.76
37.1,44.0,28.5,26,3.4,8.7,18.3,198.09
